seed,w1,w2,w3,f1,f2,f3,runtime_s
0,1.0,0.0,0.0,0.10499999999999998,28354.0,5303962.0,698.3588028219528
0,0.6,0.2,0.2,0.10870000000000002,7634.0,1931906.0,697.8143491831142
0,0.34,0.33,0.33,0.11299999999999999,8882.0,1315106.0,664.3888825981412
0,0.2,0.6,0.2,0.1493,6234.0,1787058.0,664.8934248760343
0,0.2,0.2,0.6,0.18669999999999998,6266.0,784394.0,663.5479319931474
1,1.0,0.0,0.0,0.09060000000000001,47538.0,4879098.0,681.7931569360662
1,0.6,0.2,0.2,0.20179999999999998,3938.0,705338.0,675.8409861118998
1,0.34,0.33,0.33,0.12150000000000005,10650.0,1312170.0,670.8153844699264
1,0.2,0.6,0.2,0.11760000000000004,11010.0,1330290.0,667.451371897012
1,0.2,0.2,0.6,0.10760000000000003,8002.0,784026.0,666.0216121037956
2,1.0,0.0,0.0,0.09099999999999997,195274.0,15531498.0,676.3705612791236
2,0.6,0.2,0.2,0.10519999999999996,12498.0,1015722.0,664.0299520411063
2,0.34,0.33,0.33,0.12209999999999999,8826.0,1262034.0,663.6146125120576
2,0.2,0.6,0.2,0.2167,4202.0,772922.0,664.8535632728599
2,0.2,0.2,0.6,0.1381,6418.0,597274.0,665.2663976771291
3,1.0,0.0,0.0,0.09360000000000002,132714.0,11203722.0,713.1118879541755
3,0.6,0.2,0.2,0.11519999999999997,9778.0,1115002.0,664.288648754824
3,0.34,0.33,0.33,0.11629999999999996,7954.0,1089818.0,664.0872941908892
3,0.2,0.6,0.2,0.18469999999999998,3674.0,1539482.0,663.80203445605
3,0.2,0.2,0.6,0.11939999999999995,8658.0,912474.0,661.7079413239844
4,1.0,0.0,0.0,0.09740000000000004,156706.0,31138618.0,691.4571565240622
4,0.6,0.2,0.2,0.12080000000000002,15826.0,3317626.0,670.5811553529929
4,0.34,0.33,0.33,0.12880000000000003,14338.0,2089594.0,664.6939405130688
4,0.2,0.6,0.2,0.13380000000000003,7810.0,1463914.0,667.3428532769904
4,0.2,0.2,0.6,0.1048,18786.0,1265490.0,665.0404903059825
5,1.0,0.0,0.0,0.10319999999999996,194106.0,37664106.0,676.8192334079649
5,0.6,0.2,0.2,0.13090000000000002,14258.0,2778218.0,672.2702980150934
5,0.34,0.33,0.33,0.20630000000000004,2658.0,629418.0,667.5467055030167
5,0.2,0.6,0.2,0.16679999999999995,5650.0,2294266.0,666.7077232960146
5,0.2,0.2,0.6,0.12849999999999995,12138.0,2196594.0,669.0910027320497
6,1.0,0.0,0.0,0.09760000000000002,357914.0,32882394.0,719.8283587819897
6,0.6,0.2,0.2,0.11160000000000003,10538.0,862898.0,687.5026778061874
6,0.34,0.33,0.33,0.16210000000000002,8706.0,2511066.0,667.3656782298349
6,0.2,0.6,0.2,0.19410000000000005,3258.0,507522.0,664.8944512698799
6,0.2,0.2,0.6,0.1482,4946.0,913610.0,664.6386976200156
7,1.0,0.0,0.0,0.0837,119546.0,8418938.0,665.2048811118584
7,0.6,0.2,0.2,0.1421,16738.0,1148714.0,666.5533220251091
7,0.34,0.33,0.33,0.16210000000000002,4482.0,680202.0,664.3056858400814
7,0.2,0.6,0.2,0.15139999999999998,6322.0,838330.0,664.5142519909423
7,0.2,0.2,0.6,0.14070000000000005,5698.0,681418.0,667.8552468430717
8,1.0,0.0,0.0,0.09719999999999995,79818.0,8065290.0,668.3337759720162
8,0.6,0.2,0.2,0.10170000000000001,18082.0,2755890.0,664.8683889568783
8,0.34,0.33,0.33,0.18030000000000002,4290.0,955578.0,666.3523083969485
8,0.2,0.6,0.2,0.1684,4034.0,754874.0,664.7366844040807
8,0.2,0.2,0.6,0.13560000000000005,5882.0,1285874.0,665.060014919145
9,1.0,0.0,0.0,0.09109999999999996,160226.0,15362466.0,669.588570564054
9,0.6,0.2,0.2,0.11419999999999997,11602.0,1439626.0,675.2167666119058
9,0.34,0.33,0.33,0.1129,11010.0,1098666.0,684.9968988900073
9,0.2,0.6,0.2,0.20730000000000004,3794.0,607754.0,673.0331946131773
9,0.2,0.2,0.6,0.2026,4898.0,956186.0,674.7034935581032
